Jurisdiction Name,Location NAME,Location Id,Comm Device TYPE,Latitude,longitude
GLOBALINFRA,Intersection1,6001,TCP/IP,44.951292,-92.946624
GLOBALINFRA,Intersection2,6002,TCP/IP,44.951392,-92.946524
GLOBALINFRA,Intersection3,6003,TCP/IP,44.951492,-92.946424
GLOBALINFRA,Intersection4,6004,TCP/IP,44.951592,-92.946324
GLOBALINFRA,Intersection5,6005,TCP/IP,44.951692,-92.946224
GLOBALINFRA,Intersection6,6006,TCP/IP,44.951792,-92.946124
GLOBALINFRA,Intersection7,6007,TCP/IP,44.951892,-92.946024
GLOBALINFRA,Intersection8,6008,TCP/IP,44.951992,-92.945924
GLOBALINFRA,Intersection9,6009,TCP/IP,44.952092,-92.945824
GLOBALINFRA,Intersection10,6010,TCP/IP,44.952192,-92.945724
GLOBALINFRA,Intersection11,6011,TCP/IP,44.952292,-92.945624
GLOBALINFRA,Intersection12,6012,TCP/IP,44.952392,-92.945524
GLOBALINFRA,Intersection13,6013,TCP/IP,44.952492,-92.945424
GLOBALINFRA,Intersection14,6014,TCP/IP,44.952592,-92.945324
GLOBALINFRA,Intersection15,6015,TCP/IP,44.952692,-92.945224
GLOBALINFRA,Intersection16,6016,TCP/IP,44.952792,-92.945124
GLOBALINFRA,Intersection17,6017,TCP/IP,44.952892,-92.945024
GLOBALINFRA,Intersection18,6018,TCP/IP,44.952992,-92.944924
GLOBALINFRA,Intersection19,6019,TCP/IP,44.953092,-92.944824
GLOBALINFRA,Intersection20,6020,TCP/IP,44.953192,-92.944724